PLAYER,TEAM,AGE,HEIGHT,WEIGHT,,,,,,,,,,,,,,,
Jalen Brunson,NYK,26,6-2,190,,,,,,,,,,,1.6,8.5,26.6,59.7,28
Jericho Sims,NYK,24,6-10,250,,,,,,,,,,,11.7,17.5,7.4,78,4.4
Josh Hart,NYK,28,6-4,215,,,,,,,,,,,6,18.5,12.4,62.2,15.4
Julius Randle,NYK,28,6-8,250,,,,,,,,,,,5,22.6,28.8,58.1,18.4
Miles McBride,NYK,22,6-2,195,,,,,,,,,,,1.6,4.7,14.1,47.5,13
Mitchell Robinson,NYK,25,7-0,240,,,,,,,,,,,16.4,17.8,10.1,65.2,4.4
Obi Toppin,NYK,25,6-9,220,,,,,,,,,,,2.6,13.9,18.7,56.5,9.1
Quentin Grimes,NYK,23,6-5,210,,,,,,,,,,,2.2,8.5,14.2,61.9,9.6
RJ Barrett,NYK,22,6-6,214,,,,,,,,,,,2.3,12.1,25.6,53.1,12.4
Trevor Keels,NYK,19,6-4,221,,,,,,,,,,,0,25,21.1,37.5,0
Brandon Ingram,NOP,25,6-8,190,,,,,,,,,,,1.5,14.5,30.6,58.2,27.7
CJ McCollum,NOP,31,6-3,190,,,,,,,,,,,2.1,10.4,26,54.1,24.2
Dereon Seabron,NOP,22,6-5,180,,,,,,,,,,,6.7,0,15.6,40,0
Dyson Daniels,NOP,20,6-7,199,,,,,,,,,,,3.5,14,11.3,50.3,17.2
Garrett Temple,NOP,37,6-6,195,,,,,,,,,,,2.7,6.9,12.3,53.5,11.7
Herbert Jones,NOP,24,6-7,206,,,,,,,,,,,5.1,8.9,14.4,56.7,10.8
Jaxson Hayes,NOP,22,7-0,220,,,,,,,,,,,5.8,15.3,14.9,60.5,8.8
Jonas Valanciunas,NOP,31,6-11,265,,,,,,,,,,,11.5,29.3,22.9,61,10.8
Jose Alvarado,NOP,25,6-0,179,,,,,,,,,,,2.2,8.7,19.1,52.5,19.9
Josh Richardson,NOP,29,6-6,200,,,,,,,,,,,2.6,8.7,18,55.5,16
Kira Lewis Jr.,NOP,22,6-1,170,,,,,,,,,,,2.1,10.9,19.2,58.4,13.7
Larry Nance Jr.,NOP,30,6-8,245,,,,,,,,,,,8.1,18.4,11.8,64.9,11.7
Naji Marshall,NOP,25,6-7,220,,,,,,,,,,,2.7,13.2,17.2,53.9,14.7
Trey Murphy III,NOP,22,6-8,206,,,,,,,,,,,2.5,9.2,15.9,65,6.3
Willy Hernangomez,NOP,28,6-11,250,,,,,,,,,,,11.8,26.2,22.2,61,11.4
Zion Williamson,NOP,22,6-6,284,,,,,,,,,,,6,14.8,28.8,65.2,23.1
Anthony Edwards,MIN,21,6-4,225,,,,,,,,,,,1.7,13.9,29.2,56.4,19.2
Austin Rivers,MIN,30,6-4,200,,,,,,,,,,,0.5,7.8,10.4,56.4,9.5
Bryn Forbes,MIN,29,6-2,205,,,,,,,,,,,1.5,4,15.5,49.7,8.7
Jaden McDaniels,MIN,22,6-9,185,,,,,,,,,,,3.9,8.6,15.6,61.1,8.2
Jaylen Nowell,MIN,23,6-4,201,,,,,,,,,,,2.8,10.7,23.8,52.7,15.6
Jordan McLaughlin,MIN,27,6-0,185,,,,,,,,,,,2.2,6.5,11.2,52.6,26.4
Josh Minott,MIN,20,6-8,205,,,,,,,,,,,5.4,19.4,17.6,58.2,6.5
Karl-Anthony Towns,MIN,27,7-0,248,,,,,,,,,,,5,18.1,25,61.8,22.5
Kyle Anderson,MIN,29,6-9,230,,,,,,,,,,,3.5,15.2,14.3,58.3,22.5
Luka Garza,MIN,24,6-10,243,,,,,,,,,,,13,12.8,24.5,65.2,10.3
Matt Ryan,MIN,26,6-6,215,,,,,,,,,,,1.3,6.7,15.7,53.8,6.8
Mike Conley,MIN,35,6-1,175,,,,,,,,,,,1.6,7.5,16.1,58.3,29.5
Nathan Knight,MIN,25,6-8,253,,,,,,,,,,,7.2,11.8,17.7,65.5,6.5
Naz Reid,MIN,23,6-9,264,,,,,,,,,,,5.8,20.5,24.2,61.7,9.8
Nickeil Alexander-Walker,MIN,24,6-5,205,,,,,,,,,,,1.7,9.5,17.7,56.5,16.8
Rudy Gobert,MIN,30,7-1,258,,,,,,,,,,,11.1,26,16.1,67.5,5.8
Taurean Prince,MIN,29,6-6,218,,,,,,,,,,,1.3,9.6,16.5,59.7,9.4
Wendell Moore Jr.,MIN,21,6-5,215,,,,,,,,,,,2.5,8.6,13.9,46.5,16.2
AJ Green,MIL,23,6-5,190,,,,,,,,,,,1.6,10.5,15.9,60.7,9.2
Bobby Portis,MIL,28,6-11,250,,,,,,,,,,,8,26.3,21.1,57.5,8.7
Brook Lopez,MIL,35,7-1,282,,,,,,,,,,,6.4,13.5,18.7,63,6
Giannis Antetokounmpo,MIL,28,7-0,243,,,,,,,,,,,6.5,26.8,37.3,60.5,31.4
Goran Dragic,MIL,37,6-4,190,,,,,,,,,,,1.8,7.5,19.8,51.4,23.7
Grayson Allen,MIL,27,6-4,198,,,,,,,,,,,3,8.2,14.3,61.2,10.7
Jae Crowder,MIL,32,6-6,235,,,,,,,,,,,4.6,13.4,12.5,62.4,10.2
Jevon Carter,MIL,27,6-1,200,,,,,,,,,,,1.8,8.4,14.9,56,15
Joe Ingles,MIL,35,6-9,220,,,,,,,,,,,1.2,10.2,12.2,61.6,18.1
Jrue Holiday,MIL,32,6-5,205,,,,,,,,,,,3.5,10.7,24.4,58.6,32.1
Khris Middleton,MIL,31,6-7,222,,,,,,,,,,,3.4,12.2,25.9,55.1,28.8
Lindell Wigginton,MIL,25,6-1,189,,,,,,,,,,,0,7.7,25.1,61,26.4
MarJon Beauchamp,MIL,22,6-7,199,,,,,,,,,,,5,10.3,17.5,51.3,7.2
Meyers Leonard,MIL,31,7-0,260,,,,,,,,,,,10.3,19.5,14,65.2,1.2
Pat Connaughton,MIL,30,6-5,209,,,,,,,,,,,3.3,14.4,13.3,53.1,6.9
Serge Ibaka,MIL,33,6-11,235,,,,,,,,,,,7.3,15.3,15.9,55.3,3.6
Thanasis Antetokounmpo,MIL,30,6-7,219,,,,,,,,,,,7.5,13.9,13.8,45.8,11.5
Wesley Matthews,MIL,36,6-5,220,,,,,,,,,,,4,8.7,9.5,51.9,5.3
Bam Adebayo,MIA,25,6-9,255,,,,,,,,,,,7.3,20.6,25.1,59.2,15.4
Caleb Martin,MIA,27,6-5,205,,,,,,,,,,,4.4,13,14.3,57.1,8.2
Cody Zeller,MIA,30,6-11,240,,,,,,,,,,,11.7,20,17.5,65.9,7.7
Duncan Robinson,MIA,29,6-7,215,,,,,,,,,,,1.2,9.4,17.2,53.4,10.1
Gabe Vincent,MIA,26,6-2,200,,,,,,,,,,,1.6,7.1,17,53.3,13.9
Haywood Highsmith,MIA,26,6-5,220,,,,,,,,,,,5.5,13.5,12.1,51.7,6.5
Jamal Cain,MIA,24,6-6,191,,,,,,,,,,,6.4,14.2,13.9,64.7,7.6
Jimmy Butler,MIA,33,6-7,230,,,,,,,,,,,6.8,12.1,24.8,64.7,26.4
Kevin Love,MIA,34,6-8,251,,,,,,,,,,,5,28.7,18.5,54.8,13.1
Kyle Lowry,MIA,37,6-0,196,,,,,,,,,,,2.5,11.2,16.2,56.5,23.3
Max Strus,MIA,27,6-5,215,,,,,,,,,,,2.1,9.7,17,55.7,11.5
Nikola Jovic,MIA,19,6-10,205,,,,,,,,,,,4.3,11.9,18.5,53,7.6
Omer Yurtseven,MIA,24,6-11,275,,,,,,,,,,,8.9,17.9,15.9,67.5,3.5
Orlando Robinson,MIA,22,6-10,235,,,,,,,,,,,10.8,20.1,11.6,56.5,8.6
Tyler Herro,MIA,23,6-5,195,,,,,,,,,,,1.2,15.4,25,56.6,19
Udonis Haslem,MIA,42,6-7,235,,,,,,,,,,,4.7,10.1,18.5,43.3,0
Victor Oladipo,MIA,31,6-3,213,,,,,,,,,,,1.4,10.9,20.4,51.3,20.6
Brandon Clarke,MEM,26,6-8,215,,,,,,,,,,,7.9,17.7,17.4,68.1,10
David Roddy,MEM,22,6-4,255,,,,,,,,,,,3.7,10.7,16.3,51.9,6.4
Desmond Bane,MEM,24,6-5,215,,,,,,,,,,,2.2,12.3,25.2,60.6,20.2
Dillon Brooks,MEM,27,6-6,225,,,,,,,,,,,1.9,8.4,21.4,49.4,11.7
Ja Morant,MEM,23,6-2,174,,,,,,,,,,,2.9,13.9,33.8,55.7,41.2
Jacob Gilyard,MEM,24,5-9,160,,,,,,,,,,,0,9.5,5.2,50,21.2
Jake LaRavia,MEM,21,6-7,235,,,,,,,,,,,4.4,10,11.7,53.1,6.8
Jaren Jackson Jr.,MEM,23,6-10,242,,,,,,,,,,,5.8,15.9,24.3,61.3,4.8
