PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Patty Mills,BKN,40,18,22,567,82,13,23,56.5,3,4,75,30,36.6,50,61,11,13.4,4,4.9,2,2.4
Paul George,LAC,56,32,24,1939,605,121,229,52.8,91,113,80.5,340,56.2,251,41.5,69,11.4,52,8.6,56,9.3
Paul Reed,PHI,69,44,25,755,30,6,17,35.3,2,2,100,14,46.7,5,16.7,1,3.3,7,23.3,1,3.3
Payton Pritchard,BOS,48,32,16,643,161,14,39,35.9,5,8,62.5,33,20.5,106,65.8,17,10.6,11,6.8,4,2.5
Peyton Watson,DEN,23,13,10,186,34,8,18,44.4,5,6,83.3,21,61.8,12,35.3,4,11.8,0,0,3,8.8
Precious Achiuwa,TOR,55,30,25,1141,140,38,77,49.4,26,31,83.9,102,72.9,26,18.6,5,3.6,19,13.6,15,10.7
Quentin Grimes,NYK,71,41,30,2121,245,42,76,55.3,28,32,87.5,114,46.5,134,54.7,38,15.5,18,7.3,17,6.9
Quenton Jackson,WAS,9,3,6,135,48,8,14,57.1,1,4,25,18,37.5,26,54.2,6,12.5,3,6.3,2,4.2
R.J. Hampton,DET,47,9,38,750,186,36,77,46.8,24,34,70.6,100,53.8,70,37.6,12,6.5,12,6.5,17,9.1
RJ Barrett,NYK,73,40,33,2476,916,223,470,47.4,153,202,75.7,620,67.7,257,28.1,63,6.9,60,6.6,101,11
RaiQuan Gray,BKN,1,0,1,35,3,0,1,0,2,2,100,2,66.7,1,33.3,0,0,0,0,1,33.3
Raul Neto,CLE,48,31,17,505,133,29,48,60.4,8,10,80,68,51.1,66,49.6,14,10.5,6,4.5,6,4.5
Reggie Bullock,DAL,78,37,41,2365,31,7,16,43.8,2,2,100,16,51.6,11,35.5,1,3.2,3,9.7,1,3.2
Reggie Jackson,DEN,68,36,32,1657,431,101,209,48.3,31,35,88.6,241,55.9,163,37.8,43,10,29,6.7,18,4.2
Richaun Holmes,SAC,42,22,20,348,7,2,4,50,2,2,100,6,85.7,2,28.6,0,0,0,0,1,14.3
Ricky Rubio,CLE,33,23,10,566,205,26,59,44.1,9,14,64.3,62,30.2,120,58.5,32,15.6,9,4.4,7,3.4
Robert Covington,LAC,48,20,28,779,81,14,30,46.7,10,12,83.3,38,46.9,36,44.4,13,16,6,7.4,6,7.4
Robert Williams III,BOS,35,24,11,824,3,0,1,0,2,2,100,2,66.7,1,33.3,0,0,0,0,1,33.3
Robin Lopez,CLE,37,25,12,299,12,4,9,44.4,0,0,0,8,66.7,1,8.3,0,0,2,16.7,0,0
Rodney McGruder,DET,32,4,28,524,59,5,29,17.2,4,6,66.7,14,23.7,24,40.7,6,10.2,2,3.4,3,5.1
Romeo Langford,SAS,40,13,27,790,176,42,96,43.8,20,28,71.4,107,60.8,50,28.4,11,6.3,9,5.1,14,8
Ron Harper Jr.,TOR,9,6,3,48,10,3,4,75,0,0,0,7,70,6,60,2,20,0,0,0,0
Royce O'Neale,BKN,76,42,34,2409,288,31,95,32.6,22,32,68.8,87,30.2,143,49.7,41,14.2,30,10.4,15,5.2
Rudy Gay,UTA,56,29,27,816,69,23,47,48.9,15,16,93.8,62,89.9,11,15.9,3,4.3,1,1.4,8,11.6
Rudy Gobert,MIN,69,33,36,2120,52,17,36,47.2,7,10,70,42,80.8,5,9.6,0,0,5,9.6,5,9.6
Rui Hachimura,LAL,63,38,25,1466,185,60,123,48.8,24,30,80,147,79.5,31,16.8,4,2.2,11,5.9,15,8.1
Russell Westbrook,LAC,73,36,37,2126,981,167,346,48.3,85,128,66.4,432,44,476,48.5,148,15.1,67,6.8,64,6.5
Ryan Arcidiacono,POR,20,9,11,172,27,0,9,0,0,0,0,0,0,17,63,2,7.4,1,3.7,0,0
Ryan Rollins,GSW,12,5,7,62,22,1,5,20,2,2,100,4,18.2,12,54.5,1,4.5,3,13.6,1,4.5
Saben Lee,PHX,25,15,10,374,160,20,46,43.5,25,36,69.4,66,41.3,76,47.5,13,8.1,14,8.8,18,11.3
